,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
woman,0.9949842095375061,0.9877619743347168,0.9062783718109131,0.8905373811721802,0.801491916179657,0.9177752733230591,0.9630021452903748,0.9737066030502319,0.9176878929138184,0.9820667505264282,0.0,0.9884504079818726,0.9887967705726624,0.968774676322937,0.9404270648956299,0.9718557596206665,0.9769340753555298,0.9888712167739868,0.9772243499755859,0.9822092056274414,0.9774448871612549,0.8805250525474548,0.9725677967071533,0.9459575414657593,0.0,0.0,0.9884402751922607,0.8411834239959717,0.0,0.9477798938751221,0.9722421765327454,0.7934650182723999,0.9687042832374573,0.9644863605499268,0.9839940071105957,0.9553455114364624,0.9501236081123352,0.9606426358222961,0.9639982581138611,0.8461251854896545,0.9789143800735474,0.0,0.0,0.9853747487068176,0.9770639538764954,0.9741926789283752,0.0,0.9494336843490601,0.9853448867797852,0.9511189460754395,0.9873979091644287,0.9363088607788086,0.0,0.0,0.9146913290023804,0.8402334451675415,0.9430880546569824,0.9667298793792725,0.0,0.8836973905563354,0.9019075632095337,0.9239968061447144,0.0,0.9125507473945618,0.9822074174880981,0.0,0.0,0.9812085628509521,0.9722623825073242,0.0,0.9693183898925781,0.0,0.0,0.0,0.0,0.0,0.0,0.9279747009277344,0.0,0.9761065244674683,0.9773324728012085,0.9613944292068481,0.9891101121902466,0.9786006808280945,0.9909749031066895,0.9840993881225586,0.0,0.8860557079315186,0.9646497964859009,0.8907759785652161,0.0,0.0,0.9234752655029297,0.9671486020088196,0.980421781539917,0.9608731269836426,0.8861442804336548,0.9775069952011108,0.8402334451675415,0.9399314522743225,0.9753621220588684,0.965632438659668,0.9735739231109619,0.9314242005348206,0.9909688234329224,0.9207760095596313,0.9637247920036316,0.9698724746704102,0.9820642471313477,0.9166241884231567,0.9618346691131592,0.9857825040817261,0.969046413898468,0.9874919652938843,0.9895159602165222,0.9759702682495117,0.9775633811950684,0.9819308519363403,0.9911055564880371,0.9812154769897461,0.9641462564468384,0.9908617734909058,0.9848959445953369,0.9930155277252197,0.9981857538223267,0.9821704626083374,0.9813175797462463,0.9888712167739868,0.9772243499755859,0.9264949560165405,0.9857923984527588,0.9562042355537415,0.9943075180053711,0.9801123738288879,0.8279573917388916,0.983855664730072,0.9853747487068176,0.9822092056274414,0.9934645891189575,0.9714565277099609,0.9911526441574097,0.9828610420227051,0.9884121417999268,0.8461251854896545,0.9860196113586426,0.9618383646011353,0.9890000224113464,0.9856597185134888,0.9919618368148804,0.9916665554046631,0.9877573251724243,0.0,0.9929850697517395,0.9882044792175293,0.9684233665466309,0.8909704089164734,0.9913715124130249,0.986923336982727,0.9931983947753906,0.9879493713378906,0.9734019041061401,0.961917519569397,0.9884433746337891,0.9737576246261597,0.9763959646224976,0.9909528493881226,0.9962115287780762,0.9919437170028687,0.986196756362915,0.9915670156478882,0.9938494563102722,0.9545832276344299,0.9756385087966919,0.9721633195877075,0.9728783965110779,0.9921120405197144,0.9970527291297913,0.9884615540504456,0.9410029649734497,0.9756327867507935,0.9761874675750732,0.9890799522399902,0.977918803691864,0.9940664768218994,0.9841655492782593,0.9764491319656372,0.9833657741546631,0.9747955799102783,0.978416919708252,0.9705516695976257,0.9960426092147827,0.985365629196167,0.9845696687698364,0.9679769277572632,0.9787625074386597,0.9802066087722778,0.9752185940742493,0.960868239402771,0.9878701567649841,0.9941000938415527
portrait,0.9876051545143127,0.8706578612327576,0.0,0.9630268812179565,0.0,0.0,0.938469409942627,0.9175236225128174,0.0,0.9787054061889648,0.0,0.0,0.8969706892967224,0.0,0.9673848152160645,0.9612579941749573,0.0,0.9766332507133484,0.9864687323570251,0.9641537666320801,0.0,0.9021164178848267,0.0,0.913973331451416,0.0,0.8981236815452576,0.0,0.7592284679412842,0.0,0.9596346616744995,0.8961966037750244,0.8708508014678955,0.9395787715911865,0.945495069026947,0.9348868131637573,0.7938703894615173,0.9917404651641846,0.8742231130599976,0.9654895067214966,0.0,0.9601277112960815,0.0,0.0,0.8954288363456726,0.892384946346283,0.0,0.0,0.0,0.0,0.0,0.8957768678665161,0.878386378288269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9632550477981567,0.0,0.0,0.0,0.9118805527687073,0.0,0.0,0.875120222568512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9076010584831238,0.9217147827148438,0.9006950855255127,0.9716517925262451,0.9670559167861938,0.9101744890213013,0.8583912253379822,0.8994952440261841,0.911523699760437,0.0,0.0,0.0,0.0,0.0,0.9739421606063843,0.9017541408538818,0.0,0.9610106945037842,0.0,0.9213365912437439,0.9522493481636047,0.9369243383407593,0.9734498262405396,0.9835522174835205,0.0,0.0,0.0,0.0,0.9602963924407959,0.8631887435913086,0.9403592348098755,0.9367038011550903,0.961478590965271,0.9837769269943237,0.9718306064605713,0.0,0.9437708854675293,0.9873977899551392,0.952846884727478,0.9507919549942017,0.8657318353652954,0.9852558374404907,0.9774963855743408,0.9802048206329346,0.9469677209854126,0.9476585388183594,0.9290338158607483,0.9766332507133484,0.9864687323570251,0.0,0.9314085245132446,0.976413905620575,0.8604207634925842,0.957427442073822,0.82295823097229,0.9586336612701416,0.8954288363456726,0.9641537666320801,0.963869035243988,0.9445593357086182,0.947555422782898,0.9844162464141846,0.9314991235733032,0.0,0.9873091578483582,0.984548807144165,0.9925023317337036,0.9822925925254822,0.9948770999908447,0.9730322360992432,0.9825028777122498,0.9437005519866943,0.9847102165222168,0.9583938121795654,0.9339817762374878,0.0,0.9729900360107422,0.9193634390830994,0.9811966419219971,0.9116994142532349,0.9578523635864258,0.9029636383056641,0.98830246925354,0.8961719274520874,0.9917922019958496,0.9611608386039734,0.9738680124282837,0.9804414510726929,0.9508101344108582,0.0,0.9840237498283386,0.8835916519165039,0.0,0.9811806678771973,0.8148783445358276,0.9871581792831421,0.9562902450561523,0.960191011428833,0.897706151008606,0.9533516764640808,0.9193146228790283,0.8799182176589966,0.9193907976150513,0.9614865779876709,0.9931888580322266,0.0,0.0,0.9601203799247742,0.9503594636917114,0.9290132522583008,0.9430190324783325,0.9227429628372192,0.8809776902198792,0.9873391389846802,0.9346702098846436,0.8699586391448975,0.978429913520813,0.9092757105827332,0.9810611009597778,0.9565173387527466
girl,0.9855251312255859,0.9414066076278687,0.9566689729690552,0.9616290330886841,0.8722187280654907,0.9691051244735718,0.0,0.9877458810806274,0.9786205291748047,0.982154369354248,0.9170446395874023,0.9573305249214172,0.9517126083374023,0.9584128260612488,0.8610225915908813,0.9681652784347534,0.947931170463562,0.9902842044830322,0.986126184463501,0.9674783945083618,0.9876440763473511,0.9074629545211792,0.9339669942855835,0.9469316005706787,0.9126039743423462,0.0,0.8993719816207886,0.7750939130783081,0.0,0.9493347406387329,0.9385300874710083,0.7881830930709839,0.9335054159164429,0.9767151474952698,0.9402836561203003,0.8843700289726257,0.9912927746772766,0.945435643196106,0.9560467004776001,0.0,0.9796408414840698,0.0,0.9285606145858765,0.9600364565849304,0.9151709079742432,0.0,0.9285607933998108,0.0,0.9649562835693359,0.9292829632759094,0.9718989729881287,0.8988122344017029,0.0,0.0,0.954416036605835,0.8806958794593811,0.962459921836853,0.9474363327026367,0.0,0.0,0.9475805759429932,0.8529192209243774,0.0,0.0,0.8459522724151611,0.0,0.0,0.9288106560707092,0.9111114740371704,0.0,0.848242998123169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8695693016052246,0.0,0.9517332315444946,0.0,0.9770922660827637,0.9453882575035095,0.924869954586029,0.0,0.0,0.9515559673309326,0.913612961769104,0.0,0.8759225010871887,0.9254423379898071,0.970626950263977,0.8753446936607361,0.7667843103408813,0.0,0.9709113836288452,0.8806958794593811,0.8592698574066162,0.962450385093689,0.9619824886322021,0.9813231229782104,0.9840623140335083,0.0,0.0,0.0,0.9676694869995117,0.9708993434906006,0.0,0.8695862293243408,0.9623401165008545,0.9849475622177124,0.9931308627128601,0.9543657898902893,0.9641151428222656,0.9804821014404297,0.988706111907959,0.9801217317581177,0.9187577962875366,0.9759597182273865,0.9920872449874878,0.9869056344032288,0.9914552569389343,0.9655840396881104,0.9638743996620178,0.9153616428375244,0.9902842044830322,0.986126184463501,0.9423450231552124,0.8775953054428101,0.98985755443573,0.8166651725769043,0.9781494140625,0.0,0.9780527353286743,0.9600364565849304,0.9674783945083618,0.991388738155365,0.9541367292404175,0.9741210341453552,0.9794663190841675,0.9767361283302307,0.0,0.9788727760314941,0.9759439826011658,0.9913883209228516,0.9490276575088501,0.9943959712982178,0.9671037197113037,0.9910836219787598,0.0,0.9802296161651611,0.9886897802352905,0.8608638048171997,0.0,0.9625129699707031,0.9041607975959778,0.9408578872680664,0.9517930746078491,0.9746694564819336,0.973230242729187,0.9934810400009155,0.8117135167121887,0.9946334958076477,0.9802428483963013,0.9685225486755371,0.8662862181663513,0.9635483026504517,0.0,0.985302209854126,0.9739965200424194,0.0,0.9741135835647583,0.0,0.9846413135528564,0.9767894744873047,0.9861707091331482,0.8048171997070312,0.8943426012992859,0.9543206691741943,0.9130783677101135,0.9797323942184448,0.951372504234314,0.984634518623352,0.9192495346069336,0.9768435955047607,0.9899044632911682,0.9600358009338379,0.9140608310699463,0.9694217443466187,0.911854088306427,0.9303784370422363,0.9612374901771545,0.9617462158203125,0.0,0.9507734775543213,0.8486102819442749,0.9918351173400879,0.9474902153015137
adult,0.9834741353988647,0.0,0.9305693507194519,0.9086962938308716,0.0,0.0,0.9779347777366638,0.0,0.0,0.9785997867584229,0.0,0.0,0.0,0.0,0.91921067237854,0.8722092509269714,0.0,0.9799619913101196,0.9692637324333191,0.9322208762168884,0.0,0.0,0.8868770599365234,0.8995180130004883,0.0,0.8667628765106201,0.0,0.9083704948425293,0.0,0.8987182378768921,0.9057612419128418,0.0,0.0,0.9445292353630066,0.8829594850540161,0.0,0.0,0.936453104019165,0.9123657941818237,0.7856756448745728,0.9587616920471191,0.0,0.0,0.9521193504333496,0.8849635124206543,0.0,0.0,0.0,0.0,0.0,0.935899019241333,0.0,0.0,0.848543643951416,0.9368478655815125,0.0,0.9667531251907349,0.0,0.0,0.0,0.9575331807136536,0.9413853287696838,0.0,0.9243800640106201,0.9730294942855835,0.0,0.0,0.9523388147354126,0.9786481857299805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9538687467575073,0.9248394966125488,0.0,0.0,0.9719870090484619,0.9042304754257202,0.0,0.9206414222717285,0.9357708096504211,0.9093078970909119,0.0,0.9886303544044495,0.9452400207519531,0.0,0.0,0.9432814121246338,0.0,0.0,0.9344818592071533,0.9101980924606323,0.0,0.0,0.0,0.8810997009277344,0.9475150108337402,0.9491346478462219,0.9234321117401123,0.9422591328620911,0.8862619996070862,0.9617609977722168,0.956719160079956,0.0,0.9537572860717773,0.0,0.0,0.0,0.9397792816162109,0.9313012361526489,0.9513393640518188,0.9131015539169312,0.972356915473938,0.9729211330413818,0.9701708555221558,0.9383796453475952,0.9015929698944092,0.9434292316436768,0.9354860782623291,0.9151430130004883,0.8873070478439331,0.941182553768158,0.9637676477432251,0.9799619913101196,0.9692637324333191,0.8661588430404663,0.0,0.9653592109680176,0.0,0.9547892808914185,0.8612809777259827,0.9287290573120117,0.9521193504333496,0.9322208762168884,0.9730269312858582,0.9496574401855469,0.976969838142395,0.9099565744400024,0.0,0.7856756448745728,0.9600976705551147,0.9527319073677063,0.9694286584854126,0.963909387588501,0.9682720899581909,0.9536232948303223,0.9684552550315857,0.9499272108078003,0.9364203810691833,0.9262646436691284,0.9114315509796143,0.9360435009002686,0.9502654075622559,0.0,0.9699966907501221,0.0,0.9499214887619019,0.9333996176719666,0.9802991151809692,0.9331545829772949,0.0,0.8822897672653198,0.969224214553833,0.9923990368843079,0.917616605758667,0.0,0.9230283498764038,0.7782598733901978,0.9470778107643127,0.9723531007766724,0.948367178440094,0.9577738642692566,0.9681476354598999,0.9567687511444092,0.9206440448760986,0.8128737807273865,0.9404152631759644,0.0,0.9351798295974731,0.8534952402114868,0.9916359186172485,0.0,0.0,0.9402577877044678,0.8175495862960815,0.9152771830558777,0.9331037998199463,0.8790087699890137,0.9362543821334839,0.9781025052070618,0.0,0.8626113533973694,0.914208173751831,0.9163104295730591,0.907258152961731,0.0
brunette,0.9782363772392273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9038607478141785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9070224761962891,0.0,0.0,0.0,0.8591483235359192,0.0,0.0,0.0,0.8999429941177368,0.0,0.0,0.0,0.0,0.0,0.8933873176574707,0.0,0.928272008895874,0.0,0.8856894373893738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8828458786010742,0.888952374458313,0.9219132661819458,0.0,0.0,0.0,0.822743833065033,0.7987967133522034,0.9647821187973022,0.0,0.966571569442749,0.0,0.912949800491333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9777766466140747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9019856452941895,0.0,0.0,0.0,0.0,0.0,0.909290075302124,0.8857624530792236,0.0,0.0,0.0,0.0,0.0,0.8489466905593872,0.978973388671875,0.0,0.0,0.0,0.0,0.0,0.8874815702438354,0.0,0.0,0.944080114364624,0.0,0.0,0.0,0.0,0.0,0.0
one,0.9775717854499817,0.8859385251998901,0.9502272605895996,0.9412733316421509,0.0,0.0,0.9818902015686035,0.9255563020706177,0.0,0.9773111343383789,0.0,0.0,0.0,0.0,0.8787320852279663,0.9078253507614136,0.0,0.9850419759750366,0.9676861763000488,0.9632779955863953,0.0,0.0,0.9519681930541992,0.9626578092575073,0.0,0.8701126575469971,0.9393491744995117,0.958774209022522,0.89894700050354,0.938326358795166,0.9228843450546265,0.907427191734314,0.0,0.9437288641929626,0.8981835842132568,0.7995514869689941,0.9239908456802368,0.9716829061508179,0.9742597937583923,0.0,0.949528694152832,0.9525494575500488,0.8748389482498169,0.9679322242736816,0.9664400219917297,0.962577760219574,0.8748390674591064,0.0,0.0,0.9371762275695801,0.9602234363555908,0.9748867750167847,0.9059344530105591,0.870367169380188,0.946365237236023,0.0,0.9567004442214966,0.9079858064651489,0.0,0.0,0.9826549291610718,0.9515337944030762,0.0,0.9756697416305542,0.9740666151046753,0.0,0.0,0.0,0.935859739780426,0.9402966499328613,0.8949804306030273,0.0,0.9208188652992249,0.0,0.0,0.0,0.977742075920105,0.976237416267395,0.0,0.0,0.9739053249359131,0.8821008205413818,0.0,0.9204962253570557,0.9067877531051636,0.9456971883773804,0.0,0.9767172336578369,0.9331598281860352,0.0,0.0,0.9500660300254822,0.0,0.0,0.982736349105835,0.8866804838180542,0.0,0.0,0.0,0.9105437994003296,0.9665337800979614,0.9366214275360107,0.923844039440155,0.9618277549743652,0.9616192579269409,0.9923192262649536,0.9775633811950684,0.0,0.9572069644927979,0.0,0.8662603497505188,0.8996424078941345,0.9272487163543701,0.9342162013053894,0.9639691114425659,0.9685336351394653,0.9701855182647705,0.9815018177032471,0.9616636633872986,0.8662070035934448,0.893172025680542,0.9469552040100098,0.9543624520301819,0.9723575711250305,0.8934507369995117,0.9355394840240479,0.9743078947067261,0.9850419759750366,0.9676861763000488,0.9028054475784302,0.88554847240448,0.9688951969146729,0.9500689506530762,0.9476449489593506,0.8511887788772583,0.9610812664031982,0.9679322242736816,0.9632779955863953,0.9767078161239624,0.9578241109848022,0.9733079075813293,0.9563097357749939,0.0,0.0,0.9412425756454468,0.9804060459136963,0.9901772737503052,0.9666680097579956,0.9758037328720093,0.9604859352111816,0.9396762251853943,0.9702261090278625,0.9476122856140137,0.9582701921463013,0.8740191459655762,0.9617725014686584,0.9198811054229736,0.0,0.9361283183097839,0.9056839942932129,0.9658547639846802,0.9697645306587219,0.9713461399078369,0.0,0.9525243043899536,0.0,0.0,0.9894165992736816,0.9315748810768127,0.0,0.9599466323852539,0.0,0.0,0.9356383085250854,0.8938674926757812,0.9520191550254822,0.9711223244667053,0.9341497421264648,0.9161783456802368,0.9142301082611084,0.9648430347442627,0.8930956125259399,0.9055336713790894,0.9019724726676941,0.9880091547966003,0.0,0.0,0.9632895588874817,0.8493080139160156,0.0,0.0,0.9375734329223633,0.8462783098220825,0.9900404214859009,0.8707560300827026,0.9557698965072632,0.9320149421691895,0.9256324768066406,0.9589929580688477,0.9207985401153564
fashion,0.97725510597229,0.9375125169754028,0.0,0.0,0.8584888577461243,0.0,0.0,0.0,0.0,0.9230024814605713,0.0,0.9794968366622925,0.9404881000518799,0.0,0.8983621597290039,0.9348114132881165,0.9066084623336792,0.9284247159957886,0.0,0.9260072112083435,0.0,0.8837428092956543,0.8505914807319641,0.916610836982727,0.0,0.0,0.0,0.0,0.0,0.9284011125564575,0.9153652191162109,0.0,0.9232292175292969,0.0,0.9845834374427795,0.8949676156044006,0.9846591949462891,0.0,0.0,0.0,0.9406105875968933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8580540418624878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8948050141334534,0.9269422888755798,0.9268629550933838,0.9602075815200806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8363107442855835,0.928026556968689,0.0,0.9877893924713135,0.0,0.0,0.9232677817344666,0.96604323387146,0.9745825529098511,0.0,0.0,0.0,0.0,0.0,0.9567978382110596,0.0,0.9118329286575317,0.9382608532905579,0.8863823413848877,0.9481229782104492,0.9758894443511963,0.976418137550354,0.0,0.9211899042129517,0.9320816397666931,0.0,0.0,0.9893149137496948,0.9899742007255554,0.9965063333511353,0.9814538359642029,0.9835755228996277,0.9051740169525146,0.9284247159957886,0.0,0.0,0.9843688011169434,0.8890553712844849,0.8895425200462341,0.9418169260025024,0.0,0.9160224199295044,0.0,0.9260072112083435,0.9509862065315247,0.0,0.9011201858520508,0.9661424160003662,0.9227786064147949,0.0,0.9736963510513306,0.8468492031097412,0.9954969882965088,0.9081771373748779,0.9823635816574097,0.9864733815193176,0.9605484008789062,0.0,0.9843826293945312,0.9826273918151855,0.8244762420654297,0.0,0.9084135293960571,0.9743954539299011,0.9431506991386414,0.0,0.9097381830215454,0.0,0.9596071243286133,0.8727774620056152,0.9777350425720215,0.9684516787528992,0.912992537021637,0.0,0.9590188264846802,0.9676910638809204,0.9939472675323486,0.9008573293685913,0.0,0.0,0.0,0.988592267036438,0.0,0.0,0.9058152437210083,0.9590405225753784,0.9053249359130859,0.9914187788963318,0.9617179036140442,0.973961591720581,0.9192286729812622,0.9646570682525635,0.9943438768386841,0.9116827249526978,0.9595894813537598,0.9624579548835754,0.9786549210548401,0.9922226667404175,0.9396893978118896,0.9640989303588867,0.9564914703369141,0.9558467864990234,0.960934042930603,0.9111100435256958,0.9326411485671997,0.9848062992095947
model,0.9696272611618042,0.0,0.0,0.0,0.0,0.0,0.0,0.945033609867096,0.0,0.9471602439880371,0.0,0.0,0.0,0.0,0.0,0.8912128210067749,0.0,0.9141470789909363,0.0,0.841127872467041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882652997970581,0.8823007941246033,0.0,0.0,0.8468519449234009,0.9284331202507019,0.0,0.980695366859436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8916894793510437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9424530267715454,0.0,0.0,0.895033061504364,0.897586464881897,0.9432379007339478,0.9220240116119385,0.0,0.0,0.0,0.0,0.0,0.0,0.8929579257965088,0.0,0.9480152726173401,0.9791322946548462,0.9111679792404175,0.0,0.0,0.8304416537284851,0.0,0.0,0.0,0.9713823795318604,0.980679452419281,0.98859703540802,0.9419666528701782,0.9501419067382812,0.8212671279907227,0.9141470789909363,0.0,0.0,0.8730664253234863,0.9191319942474365,0.0,0.0,0.0,0.0,0.0,0.841127872467041,0.9341138601303101,0.0,0.9276005029678345,0.9571689367294312,0.0,0.0,0.9718042612075806,0.8763654232025146,0.9932319521903992,0.9010201692581177,0.9874944090843201,0.9696327447891235,0.9696319103240967,0.0,0.969653844833374,0.9736073017120361,0.764844536781311,0.0,0.9217259287834167,0.9076953530311584,0.9321819543838501,0.0,0.938753604888916,0.0,0.974301815032959,0.8427066206932068,0.9811539053916931,0.932559609413147,0.0,0.0,0.9114550948143005,0.0,0.9809391498565674,0.0,0.0,0.8816919326782227,0.0,0.9830095767974854,0.0,0.0,0.8311723470687866,0.8731701374053955,0.9542336463928223,0.8788954019546509,0.9168621301651001,0.9285933971405029,0.9446507096290588,0.0,0.9457917213439941,0.8882579803466797,0.9334489107131958,0.9109500646591187,0.9288915395736694,0.9398088455200195,0.8823487758636475,0.9695332050323486,0.0,0.0,0.9326293468475342,0.8792207837104797,0.9389946460723877,0.0
beautiful,0.9660710096359253,0.0,0.0,0.8766403198242188,0.9287431240081787,0.9751901626586914,0.0,0.0,0.0,0.0,0.9106686115264893,0.0,0.0,0.9089937806129456,0.9323940873146057,0.9447447061538696,0.0,0.0,0.0,0.8560324907302856,0.0,0.9352300763130188,0.9311886429786682,0.9419373273849487,0.0,0.0,0.0,0.8819653391838074,0.9797253608703613,0.8989024758338928,0.9422340393066406,0.0,0.9842914342880249,0.9246177673339844,0.9232956171035767,0.0,0.0,0.0,0.0,0.0,0.9080795049667358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9338830709457397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9120995998382568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8731462955474854,0.915500819683075,0.9828391075134277,0.9338830709457397,0.0,0.0,0.96684330701828,0.9733072519302368,0.0,0.0,0.0,0.0,0.9437359571456909,0.9551122188568115,0.8676908016204834,0.964218020439148,0.98051917552948,0.0,0.9184595346450806,0.0,0.0,0.0,0.0,0.0,0.0,0.8807086944580078,0.9264755249023438,0.9129605293273926,0.9613215923309326,0.0,0.8070288896560669,0.0,0.0,0.0,0.0,0.0,0.901260495185852,0.0,0.9038102626800537,0.8437608480453491,0.9405131936073303,0.0,0.8560324907302856,0.9125460386276245,0.8571434020996094,0.8973549604415894,0.8326231241226196,0.941390872001648,0.0,0.0,0.0,0.9804644584655762,0.0,0.9397412538528442,0.0,0.8605656027793884,0.0,0.9483658075332642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629953503608704,0.0,0.9444769620895386,0.0,0.9573720097541809,0.9268932342529297,0.0,0.0,0.0,0.0,0.9133943319320679,0.7929965257644653,0.0,0.0,0.0,0.9688336849212646,0.893051266670227,0.0,0.7916468381881714,0.0,0.8318960070610046,0.0,0.9297384023666382,0.0,0.875329315662384,0.0,0.9385102987289429,0.0,0.0,0.9160957336425781,0.9057937264442444,0.0,0.0,0.9085792303085327,0.0,0.0,0.8910977840423584,0.0,0.0,0.0
wear,0.9459658861160278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9131004214286804,0.0,0.0,0.8823851346969604,0.0,0.0,0.0,0.0,0.940155029296875,0.8149741888046265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006654381752014,0.0,0.0,0.0,0.8671436905860901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8622679710388184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8765909671783447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8935274481773376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8808462023735046,0.0,0.9254429936408997,0.0,0.0,0.0,0.0,0.0,0.0,0.8409281969070435,0.8907501697540283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9603586792945862,0.9117914438247681,0.9418214559555054,0.0,0.0,0.0,0.0,0.0,0.0,0.8838590979576111,0.9625370502471924,0.940155029296875,0.8149741888046265,0.0,0.0,0.0,0.928687572479248,0.0,0.0,0.0,0.0,0.0,0.8733311891555786,0.0,0.0,0.9301101565361023,0.0,0.0,0.9498862624168396,0.8959367275238037,0.0,0.9373385310173035,0.9268792867660522,0.8916138410568237,0.8331921100616455,0.0,0.8576891422271729,0.0,0.8942718505859375,0.0,0.0,0.0,0.875273585319519,0.0,0.0,0.0,0.9646220207214355,0.8915135264396667,0.0,0.0,0.0,0.9596651196479797,0.0,0.0,0.9476951956748962,0.0,0.0,0.0,0.0,0.9288741946220398,0.0,0.8823709487915039,0.8039406538009644,0.0,0.0,0.8276789784431458,0.8760273456573486,0.8306717872619629,0.9799782037734985,0.0,0.0,0.0,0.7958118915557861,0.8676679134368896,0.9310055375099182,0.900459885597229,0.9683891534805298,0.9193611145019531,0.0,0.0,0.9278677701950073,0.0,0.0,0.9561217427253723
